Univeristy,City,State,GPA,Annual Tuition,Types of School,Size of Students
Berkeley City College,Berkeley,CA,2.45,10570,public,7686
University of Delaware,Newark,DE,3.74,6968,private,6634
Florida International University,Miami,FL,2.2,7997,private,16674
Pasco-Hernando State College,New Port Richey,FL,2.55,8666,public,15199
Gwinnett Technical College,Lawrenceville,GA,2.45,9478,private,16748
Black Hawk College,Moline,IL,3.48,10457,private,6656
Benedictine University,Lisle,IL,3.06,9292,public,5109
St John's College of Nursing,Springfield,Illinois,3.01,9479,private,4959
Holy Cross College,Notre Dame,IN,2.38,9141,private,17911
Des Moines Area Community College,Ankeny,IA,3.59,9531,private,8250
MidAmerica Nazarene University,Olathe,KS,3.11,6109,private,19379
Delgado Community College,New Orleans,LA,3.1,10605,private,16441
Towson University,Towson,MD,2.83,8027,private,16567
School of the Museum of Fine Arts-Boston,Boston,MA,1.65,6577,public,10799
Kettering University,Flint,MI,3.88,10196,public,4570
St Clair County Community College,Port Huron,MI,1.63,9198,private,16998
Macalester College,Saint Paul,MN,2.48,6295,public,11317
Holmes Community College,Goodman,MS,2.96,6501,private,8236
Central Christian College of the Bible,Moberly,MO,3.1,8341,public,11920
Missouri Tech,Saint Charles,MO,2.77,6490,public,12503
Montana State University-Northern,Havre,MT,3.27,6302,private,12954
Berkeley College-Woodland Park,Woodland Park,NJ,1.69,9732,public,13949
Albany Law School,Albany,NY,1.61,8368,private,8838
Metropolitan College of New York,New York,NY,2.53,10802,private,19588
Jamestown Community College,Jamestown,NY,3.32,6902,private,6536
New York Chiropractic College,Seneca Falls,NY,1.58,7055,public,11098
SUNY Buffalo State,Buffalo,NY,2.23,6255,private,15603
Bennett College,Greensboro,NC,3.95,10106,private,15759
Pamlico Community College,Grantsboro,NC,1.92,8215,private,14879
Western Piedmont Community College,Morganton,NC,3.21,7889,private,14419
University of Cincinnati-Clermont College,Batavia,OH,3.53,10954,private,9972
Hondros College,Westerville,OH,3.43,8186,public,18132
Professional Skills Institute,Maumee,OH,2.93,8029,private,6773
Virginia Marti College of Art and Design,Lakewood,OH,2.51,5884,public,9493
Warner Pacific College,Portland,OR,2.46,5022,public,6779
Gannon University,Erie,PA,1.72,10437,public,8722
Pennsylvania State University-Penn State Great Valley,Malvern,PA,2.95,8337,public,6272
Miller-Motte Technical College-Conway,Conway,SC,2.51,9697,public,9837
South University-Novi,Novi,MI,3.05,9670,private,18246
ITT Technical Institute-Springfield,Springfield,IL,2.44,8429,private,12747
DeVry University-Michigan,Southfield,MI,2.74,8045,private,16407
Auburn University,Auburn University,AL,3.12,7483,public,16036
University of South Alabama,Mobile,AL,2.88,8367,private,11909
Black River Technical College,Pocahontas,AR,3.75,6851,public,12547
The California Maritime Academy,Vallejo,CA,2.9,5775,private,5989
Life Pacific College,San Dimas,CA,3.87,7585,private,8937
The National Hispanic University,San Jose,CA,3.16,9255,public,10426
Denver Seminary,Littleton,CO,3.32,10930,private,12907
Tunxis Community College,Farmington,CT,3.45,10134,public,12545
Florida Career College-Miami,Miami,FL,1.68,10814,public,17098
Rasmussen College-Florida,Ocala,FL,2.76,10937,public,11367
Talmudical Yeshiva of Philadelphia,Philadelphia,PA,3.21,7301,public,12774
Sherman College of Straight Chiropractic,Spartanburg,SC,1.51,7842,public,4663
The University of Tennessee-Knoxville,Knoxville,TN,3.5,7896,public,14890
North Central Texas College,Gainesville,TX,1.8,7462,public,9408
University of North Texas,Denton,TX,3.9,7048,private,8044
Texas Tech University,Lubbock,TX,2.25,10575,private,16140
Longwood University,Farmville,VA,3.17,9088,private,11618
Northwest University,Kirkland,WA,3.41,5874,public,9305
West Virginia Northern Community College,Wheeling,WV,2.65,7223,public,8025
Saint Norbert College,De Pere,WI,1.53,9819,public,12544
Inter American University of Puerto Rico-San German,San German,PR,3.4,7221,private,19916
Kaplan University-Cedar Falls Campus,Cedar Falls,IA,1.73,6851,private,15951
Fond du Lac Tribal and Community College,Cloquet,MN,3.32,6670,public,12720
Cleveland Clinic Health System-School of Diagnostic Imaging,Euclid,OH,1.54,5487,private,8797
New York Conservatory for Dramatic Arts,New York,NY,2.31,7167,public,17965
Florida College of Integrative Medicine,Orlando,FL,2.22,10044,private,18724
Argosy University-Seattle,Seattle,WA,3.74,7234,private,6208
West Coast Ultrasound Institute,Beverly Hills,CA,2.06,9568,public,13876
Williamson Christian College,Franklin,TN,1.59,6406,public,5787
Ave Maria University,Ave Maria,FL,2.57,10304,private,15115
Miller-Motte College-Cary,Cary,NC,3.33,7061,public,15272
Remington College-Houston Southeast Campus,Webster,TX,3.18,6194,public,9668
Marion Military Institute,Marion,AL,2.92,10233,public,4717
Ottawa University-Phoenix,Phoenix,AZ,3.13,10204,private,13150
Henderson State University,Arkadelphia,AR,2.45,10085,public,8755
St. John's College,Santa Fe,NM,3.81,7087,private,13252
ITT Technical Institute-Norwood,Norwood,MA,2.35,8503,public,4586
Southeastern Technical College,Vidalia,GA,4,7173,public,19827
Rabbi Jacob Joseph School,Edison,NJ,3.39,8767,private,15639
California State University-Monterey Bay,Seaside,CA,2.22,9073,public,13089
Living Arts College,Raleigh,NC,3.03,5779,public,14556
Dewey University-Bayamon,Bayamon,PR,2.64,10843,public,10594
Westwood College-Inland Empire,Upland,CA,1.61,8052,public,4933
Tohono O'Odham Community College,Sells,AZ,2.37,5890,private,12702
Folsom Lake College,Folsom,CA,3.16,7862,public,8828
University of South Florida-St Petersburg,St. Petersburg,FL,3.96,8303,private,14218
Centro de Estudios Multidisciplinarios-Bayamon,BayamÃ_n,PR,2.63,8471,private,13918
Daymar College-Scottsville,Scottsville,KY,2.5,6634,private,9743
Miller-Motte College-Fayetteville,Fayetteville,NC,3.15,8902,public,13199
ITT Technical Institute-Aurora,Aurora,CO,2,9303,private,5446
Grace College of Divinity,Fayetteville,NC,2.11,9331,public,12697
Virginia College-Knoxville,Knoxville,TN,2.7,8310,private,18755
Sanford-Burnham Medical Research Institute,La Jolla,CA,2.34,5934,public,14604
Arizona College-Mesa,Mesa,AZ,3.28,8834,public,14521
Urshan Graduate School of Theology,Florissant,MO,3.71,10946,public,5650
Sanford-Brown College-Grand Rapids,Grand Rapids,MI,1.93,8985,private,9941
Tribeca Flashpoint Media Arts Academy,Chicago,IL,3.57,8234,public,9407
Colorado Academy of Veterinary Technology,Colorado Springs,CO,2.73,5938,private,6153
Chamberlain College of Nursing-Georgia,Atlanta,GA,3.36,7238,private,19732
National American University-Lewisville,Lewisville,TX,1.89,5502,private,17085
National American University-Houston,Houston,TX,3.02,10204,public,17815
ITT Technical Institute-High Point,High Point,NC,3.64,8036,private,9444
Le Cordon Bleu College of Culinary Arts-St Louis,St Peters,MO,2.93,10260,private,8106
ITT Technical Institute-Tallahassee,Tallahassee,FL,3.49,9759,public,14891
John Paul the Great Catholic University,Escondido,CA,2.99,10927,public,8663
Prince Institute-Great Lakes,Schaumburg,IL,1.93,6921,private,16977
College of Business and Technology-Miami Gardens,Miami Gardens,FL,3.36,10117,public,5010
South Georgia State College,Douglas,GA,3.62,7940,private,11003
